ID	S1	S2	S3
1497-RMM-181	21.7333303642	18.3306911114	22.7665644285
1497-RMM-182	24.1915422456	20.2609658655	19.7912145856
1497-RMM-183	24.4824697219	14.2314421781	22.9210410617
1497-RMM-184	21.4805757431	15.0611187973	26.1491532657
1497-RMM-185	19.3669888345	18.4928986779	23.6772575919
1497-RMM-186	25.7830400182	14.9089679366	22.173228415
1497-RMM-187RD	20.8709945699	19.7363918423	21.0510550548
1497-RMM-188	20.2648180455	15.1429870516	26.9257160996
1497-RMM-189	20.6240172477	16.441343175	25.5338161253
1497-RMM-190	22.7801505209	15.2073387931	23.7991353258
1497-RMM-191RD	16.6608372736	24.0126336369	24.3934213605
1497-RMM-192	22.892923194	17.9439441334	21.690844851
1497-RMM-193	24.885637744	16.1840550047	21.5617231165
1497-RMM-194	26.4263826456	15.0261970639	20.7039961395
1497-RMM-195	22.6016016074	17.7232189697	22.4203556049
1497-RMM-196	22.2564148283	21.247103072	20.9859231525
1497-RMM-197	17.3534873309	18.7651968523	28.1889601589
1497-RMM-198	22.1409319177	15.9630005636	24.3105013122
1497-RMM-199	12.9366440503	30.267671119	23.5329329561
1497-RMM-200	19.1124243247	17.1076120055	26.4253860335
1497-RMM-201	21.8926621696	16.1455380722	24.4127278502
1497-RMM-202	27.210199394	14.1229319422	20.7979964584
1497-RMM-203RD	22.5036929034	15.2333139455	23.6147916961
1497-RMM-204	22.7454009616	15.7739278821	23.6886711637
1497-RMM-205	17.5126916455	18.4158173434	27.1860006247
1497-RMM-206	19.4170974964	18.7062294234	25.2612616318
1497-RMM-207	23.0670231298	15.6167889686	22.7929516822
1497-RMM-208	19.8748120517	18.5608358366	24.1270755412
1497-RMM-209	18.2791777398	17.4556032834	26.5773434506
1497-RMM-210	20.2961275551	15.4910935237	25.4760698829
1497-RMM-211	25.4483658459	16.2156839887	20.123039613
1497-RMM-212	22.5451359321	18.7694209096	21.5873765073
1497-RMM-213	16.9461939012	19.2881238494	26.7586160262
1497-RMM-214	25.8401553343	14.8337363726	21.2103290355
1497-RMM-215	15.3792599123	26.6399661628	23.5381184861
1497-RMM-216	21.6470532009	16.5842764651	24.1129616863
1497-RMM-217	21.788457	21.200636421	21.4948379041
1497-RMM-218	21.7773857934	23.3444598628	19.7280776086
1497-RMM-219	19.0911455932	19.3096058915	25.5212523266
1497-RMM-220	24.6947870124	15.6306073255	21.7306819847
1497-RMM-221	20.9281958604	14.8876257603	26.0392408345
1497-RMM-222	20.282022721	18.212850767	24.1636241015
1497-RMM-223	20.6152943568	17.8835002167	23.9246582945
1497-RMM-224	22.4989190614	17.5064999318	21.9515625806
1497-RMM-225	20.1910537383	17.5125819072	25.1390316456
1497-RMM-226	21.2561852163	23.7770567097	19.1631455992
1497-RMM-227RD	28.0095799784	14.0613515777	19.2125764703
1497-RMM-228	20.3747084782	18.2612279388	24.9273908363
1497-RMM-229	24.2166225106	16.738177727	22.3007814057
1497-RMM-230	24.5008086829	19.8594531316	18.7243090642
1497-RMM-231	22.1652692966	18.078571217	22.9989133422
1497-RMM-232	20.2675833997	18.3833197143	23.4319364874
1497-RMM-233	16.2145263094	23.8519420232	25.1305793133
1497-RMM-234	20.7057601725	15.4698725638	26.2323753718
1497-RMM-235	16.2411874402	21.910994513	26.3257904937
1497-RMM-236	21.3102737528	16.3232501391	24.736322476
1497-RMM-237	25.1677935023	15.2993863749	22.0560955909
1497-RMM-238	20.2838166306	16.6485624621	24.8563735722
1497-RMM-239	17.5662503409	19.4617075519	26.5407671672
1497-RMM-240	26.2951958005	14.7440564454	21.2193541167
1497-RMM-241	19.0967598068	19.0092225157	25.969304338
1497-RMM-242	18.3454715518	24.1204169177	22.0932121027
1497-RMM-243	17.7262508096	23.6171773621	23.1089884292
1497-RMM-244	20.2188630196	22.3906189175	22.0380861337
1497-RMM-245	11.9439106767	21.9584040065	31.9309083978
1497-RMM-246	15.2404623228	23.3110972372	25.7474543021
1497-RMM-247	25.4142305977	15.2276460519	20.8544643631
1497-RMM-248	26.7938799494	14.9023960132	20.262297321
1497-RMM-249	23.9990744743	19.9360081736	19.6786459055
1497-RMM-250	24.8749979045	15.34190436	23.0026203864
1497-RMM-251	27.9461359136	21.0571246389	14.2828024168
1497-RMM-252	23.0031382082	18.9043384664	20.6859297806
1497-RMM-253	17.4462529538	24.2937208811	22.8940037869
1497-RMM-254	23.8271687041	15.52408501	22.8370165941
1497-RMM-255	20.752845966	17.1225909073	24.3135415421
1497-RMM-256	23.8750222293	13.9875700354	24.0752897507
1497-RMM-257	21.9564377263	17.1422607562	23.4658489771
1497-RMM-258	26.5709188983	14.1767435104	20.1975312439
1497-RMM-259	23.7643662477	15.3494314648	22.6948584032
1497-RMM-260	21.6685250589	16.8000424135	24.0108142724
1497-RMM-261	19.1471896345	17.4866026182	27.1179569919
1497-RMM-262	23.5727332433	12.9638171876	24.5105740766
1497-RMM-263RD	24.4002791874	18.3942766254	19.2201142691
1497-RMM-264	17.3482293044	18.9238849055	27.5950360471
1497-RMM-265	21.8846229077	17.7520567239	23.0637011587
1497-RMM-266	26.7832539373	15.7637127195	19.4588447449
1497-RMM-267	19.9997165043	17.648599716	25.0091750715
1497-RMM-268	24.9278789005	21.2288321628	17.1265818624
1497-RMM-269	19.9135957936	16.9569849505	25.8389228098
1497-RMM-270	12.4541925531	17.243829483	34.1866832559
1497-RMM-271	25.2918501447	15.5363627585	21.443485614
1497-RMM-272	28.10700834	14.4858258611	19.0088132827
1497-RMM-273	15.2418902144	17.8307622635	30.4304625484
1497-RMM-274	27.651968222	13.5656636428	20.6974839664
1497-RMM-275	23.4457133333	15.7490309914	23.1479001202
1497-RMM-276	20.7575638885	16.7319300382	25.1993124546
